date,fragility_prob,recovery_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,recovery_prob_trigger,chop,fold
2022-07-01,0.07893521297364293,0.6432178954916683,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-07-08,0.07869279290308136,0.6113381159090403,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-07-15,0.08274486673128416,0.6489155661785324,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-07-22,0.09991893254671975,0.6946929677147392,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-07-29,0.10498585705920663,0.6505592082917607,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-08-05,0.13551254344873084,0.6174072503531696,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-08-12,0.12187315742882111,0.6821526336658724,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-08-19,0.15203543317993196,0.6596808821137593,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-08-26,0.13292617179370406,0.6561912824152081,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,1,3
2022-09-02,0.04050648867994363,0.7682199156595975,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-09-09,0.09251046673733095,0.6980606575858552,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-09-16,0.07176077049862073,0.7747038412666631,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-09-23,0.07336728216894775,0.7648298637583109,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-09-30,0.18450712121690005,0.571193631431703,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-10-07,0.1912137060617587,0.631782768101068,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-10-14,0.14796506503882137,0.6539517099228566,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-10-21,0.15399171280822593,0.6761464225333063,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-10-28,0.16822681673246873,0.6095433189430185,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-11-04,0.18510093738932296,0.2979664579158878,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-11-11,0.2152430311804113,0.3233884304329286,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-11-18,0.18399800356681012,0.6564141328325126,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-11-25,0.1700887202096438,0.6294283229173637,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-12-02,0.1610416564028163,0.7180214899652704,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-12-09,0.1530822605988454,0.7202095888140554,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-12-16,0.20511766169764,0.2217855400568414,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-12-23,0.2032157955066631,0.3620464252063713,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2022-12-30,0.193649460612101,0.20894420212061512,BASELINE,1.0,0.0,,8.422324942228125,15.358294552030976,0.65,0.6,0,3
2023-01-06,0.2169606746847858,0.21399885705244534,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-01-13,0.23421467699869183,0.19553051474147612,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-01-20,0.26050904219910437,0.1925375355959464,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-01-27,0.28795761769337247,0.1730041170530361,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-02-03,0.29270015335720806,0.149921726445387,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-02-10,0.30210283409162964,0.10488011872794466,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-02-17,0.2799178608605282,0.09824569341956313,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-02-24,0.2994639351120724,0.33488047229556617,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-03-03,0.2246170615785842,0.3698064949913256,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-03-10,0.2802873096503791,0.1731989524655422,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-03-17,0.2610825152380839,0.17781715341455537,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-03-24,0.30313788179362217,0.16712462041005421,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-03-31,0.31469393912668575,0.0873610137576915,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-04-14,0.36481546802415515,0.0734181708008077,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-04-21,0.37073824114505194,0.05431659512605232,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-04-28,0.37528359288483504,0.04234843335856447,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-05-05,0.37899021041113484,0.06251501393126517,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-05-12,0.44863755827254187,0.023981244498085648,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-05-19,0.4665947133246334,0.024895814945671915,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-05-26,0.530278867773913,0.011170230279807616,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-06-02,0.5892939065689439,0.00805700024405076,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-06-09,0.5619279948649801,0.00827119062902684,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-06-16,0.578992091869811,0.0014149366406039363,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-06-23,0.5685565294422847,0.010160430823259127,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-06-30,0.5437344006818362,0.0,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-07-07,0.6041014697202081,0.0033493064312736438,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-07-14,0.638774119398755,0.0,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-07-21,0.5773283878756688,0.00551765911032447,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-07-28,0.6176370542296149,0.0,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-08-04,0.6566017349958682,0.00350694755714926,DEFENSIVE_LIGHT,0.85,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-08-11,0.5544555433590487,0.0071258112028620086,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-08-18,0.48188259681217077,0.010001131884079487,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-08-25,0.42547040392008895,0.019038885396931465,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-09-01,0.5037971484785815,0.00676282756249531,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-09-08,0.523343536662633,0.006387298819498326,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-09-15,0.5108746659201963,0.026544089393414492,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,1,4
2023-09-22,0.4399576866050482,0.022077470248542543,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-09-29,0.3826373845831385,0.016594270519688852,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
