date,corr_rho,corr_scale,corr_state
2016-12-06,0.5236765867976528,1.0,0
2016-12-07,0.5170565670823357,1.0,0
2016-12-08,0.48461283421263873,1.0,0
2016-12-09,0.48301248736487445,1.0,0
2016-12-12,0.46654503360040644,1.0,0
2016-12-13,0.39952189548386985,1.0,0
2016-12-14,0.4849568674668847,1.0,0
2016-12-15,0.4224554652000196,1.0,0
2016-12-16,0.3993041990417193,1.0,0
2016-12-19,0.41899083380902885,1.0,0
2016-12-20,0.4204961313927989,1.0,0
2016-12-21,0.42297277069490935,1.0,0
2016-12-22,0.4288379400038752,1.0,0
2016-12-23,0.38796045856052164,1.0,0
2016-12-27,0.3814611052369862,1.0,0
2016-12-28,0.3842971216462992,1.0,0
2016-12-29,0.41238983602895135,1.0,0
2016-12-30,0.4170112792140909,1.0,0
2017-01-03,0.45300147151535697,1.0,0
2017-01-04,0.37142409536611476,1.0,0
2017-01-05,0.37034670684442783,1.0,0
2017-01-06,0.3751758731330891,1.0,0
2017-01-09,0.3835072890523884,1.0,0
2017-01-10,0.3500389678313248,1.0,0
2017-01-11,0.36505055377003526,1.0,0
2017-01-12,0.39009665236111923,1.0,0
2017-01-13,0.38392321811802976,1.0,0
2017-01-17,0.3439082492317324,1.0,0
2017-01-18,0.34425816134225334,1.0,0
2017-01-19,0.3464617294137186,1.0,0
2017-01-20,0.325335742546628,1.0,0
2017-01-23,0.3201763923292797,1.0,0
2017-01-24,0.25992032616956073,1.0,0
2017-01-25,0.2634470767727447,1.0,0
2017-01-26,0.3304669491391923,1.0,0
2017-01-27,0.32398017827539977,1.0,0
2017-01-30,0.28194451780663904,1.0,0
2017-01-31,0.25933991840776305,1.0,0
2017-02-01,0.2735818065624879,1.0,0
2017-02-02,0.15876432981949162,1.0,0
2017-02-03,0.1577250425118502,1.0,0
2017-02-06,0.1518539937286574,1.0,0
2017-02-07,0.15896021036355748,1.0,0
2017-02-08,0.1534478163304981,1.0,0
2017-02-09,0.14784841369049093,1.0,0
2017-02-10,0.13515099223366592,1.0,0
2017-02-13,0.12728638495891373,1.0,0
2017-02-14,0.1124116891382588,1.0,0
2017-02-15,0.10758892589672153,1.0,0
2017-02-16,0.08958035197234311,1.0,0
2017-02-17,0.08917802694648111,1.0,0
2017-02-21,0.10377153911501528,1.0,0
2017-02-22,0.10882412466355507,1.0,0
2017-02-23,0.1301017850724381,1.0,0
2017-02-24,0.11413285341528119,1.0,0
2017-02-27,0.07521363637483422,1.0,0
2017-02-28,0.08787496990390417,1.0,0
2017-03-01,0.1124630624041112,1.0,0
2017-03-02,0.11957341214236522,1.0,0
2017-03-03,0.13531243735048884,1.0,0
2017-03-06,0.19228027015617005,1.0,0
2017-03-07,0.19175808260432248,1.0,0
2017-03-08,0.2257676307554067,1.0,0
2017-03-09,0.22334249499246597,1.0,0
2017-03-10,0.21682519276419968,1.0,0
2017-03-13,0.23650927344527528,1.0,0
2017-03-14,0.2290408329836314,1.0,0
2017-03-15,0.24738536188774088,1.0,0
2017-03-16,0.26802777847799564,1.0,0
2017-03-17,0.29151307263162834,1.0,0
2017-03-20,0.2943823408674384,1.0,0
2017-03-21,0.28938692200125843,1.0,0
2017-03-22,0.41878616057186857,1.0,0
2017-03-23,0.4391736676987057,1.0,0
2017-03-24,0.4621742102058759,1.0,0
2017-03-27,0.4659711081126747,1.0,0
2017-03-28,0.4750976170953863,1.0,0
2017-03-29,0.47522850882472356,1.0,0
2017-03-30,0.4260824415382096,1.0,0
2017-03-31,0.40746779193007526,1.0,0
2017-04-03,0.34230676367484264,1.0,0
2017-04-04,0.34873881186327227,1.0,0
2017-04-05,0.31782525048085847,1.0,0
2017-04-06,0.3287126784139177,1.0,0
2017-04-07,0.33846525613405604,1.0,0
2017-04-10,0.3464716768881162,1.0,0
2017-04-11,0.33928223977218747,1.0,0
2017-04-12,0.3831428234405205,1.0,0
2017-04-13,0.3880979871938987,1.0,0
2017-04-17,0.39867347201336817,1.0,0
2017-04-18,0.46569297731896375,1.0,0
2017-04-19,0.4521574097053599,1.0,0
2017-04-20,0.4335452623061927,1.0,0
2017-04-21,0.3627799647370045,1.0,0
2017-04-24,0.32174174452037535,1.0,0
2017-04-25,0.3304339577287116,1.0,0
2017-04-26,0.3616361406907404,1.0,0
2017-04-27,0.36615104592363756,1.0,0
2017-04-28,0.3951133262123599,1.0,0
2017-05-01,0.30854658191429957,1.0,0
2017-05-02,0.36010411932192515,1.0,0
2017-05-03,0.3147356081311406,1.0,0
2017-05-04,0.30825262247144747,1.0,0
2017-05-05,0.34623876115871177,1.0,0
2017-05-08,0.32483855011415785,1.0,0
2017-05-09,0.30276092055482745,1.0,0
2017-05-10,0.29235301923433465,1.0,0
2017-05-11,0.22708116020581304,1.0,0
2017-05-12,0.21019591924181127,1.0,0
2017-05-15,0.18993891747112857,1.0,0
2017-05-16,0.16282212626844458,1.0,0
2017-05-17,0.12296449259777979,1.0,0
2017-05-18,0.38382966270323143,1.0,0
2017-05-19,0.3994288374981786,1.0,0
2017-05-22,0.3969582223540405,1.0,0
2017-05-23,0.40513595014281883,1.0,0
2017-05-24,0.4152258955131746,1.0,0
2017-05-25,0.42576941806542307,1.0,0
2017-05-26,0.4241681965305943,1.0,0
2017-05-30,0.4223344118964632,1.0,0
2017-05-31,0.48393754329202526,1.0,0
2017-06-01,0.4709730526627776,1.0,0
2017-06-02,0.5312226840825285,1.0,0
2017-06-05,0.5427474489751967,1.0,0
2017-06-06,0.5400544005752357,1.0,0
2017-06-07,0.5339173413587238,1.0,0
2017-06-08,0.5628740807131563,1.0,0
2017-06-09,0.5603071648667634,1.0,0
2017-06-12,0.7179066510331411,1.0,0
2017-06-13,0.7162005314774551,1.0,0
2017-06-14,0.7246825508979856,1.0,0
2017-06-15,0.731470043001336,1.0,0
2017-06-16,0.7481524588000336,1.0,0
2017-06-19,0.6138811452594267,1.0,0
2017-06-20,0.6276790754965286,1.0,0
2017-06-21,0.6004229392738925,1.0,0
2017-06-22,0.608191442888417,1.0,0
2017-06-23,0.6127052686026804,1.0,0
2017-06-26,0.595906229773778,1.0,0
2017-06-27,0.5918154479170717,1.0,0
2017-06-28,0.6328077256840313,1.0,0
2017-06-29,0.6352432196720025,1.0,0
2017-06-30,0.6628590358817987,1.0,0
2017-07-03,0.6452062821070865,1.0,0
2017-07-05,0.6571753712828898,1.0,0
2017-07-06,0.6828087237848399,1.0,0
2017-07-07,0.6901145896431754,1.0,0
2017-07-10,0.6951711886891782,1.0,0
2017-07-11,0.7128699318855058,1.0,0
2017-07-12,0.6491354366838965,1.0,0
2017-07-13,0.6739550437777789,1.0,0
2017-07-14,0.6593756053587678,1.0,0
2017-07-17,0.6597503429025199,1.0,0
2017-07-18,0.6523424964849525,1.0,0
2017-07-19,0.6083691688384911,1.0,0
2017-07-20,0.6018271992049699,1.0,0
2017-07-21,0.6105456321273038,1.0,0
2017-07-24,0.6204385467862937,1.0,0
