weight_cap,k_atr,turb_zscore_thr,turb_scale_min,vol_target_ann,fold,score_val,VAL_Sharpe,VAL_CAGR%,VAL_MaxDD%,VAL_SR_tstat,p_value,q_value,significant_5pct,significant_10pct,SR_above_HLZ_tmin,stat_label
0.55,2.5,1.5,0.4,0.25,3,-0.2722766420174833,1.2326,24.805,-15.289,1.742,0.08145,0.871196,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.4,0.25,3,-0.28138857803635536,1.2345,24.274,-15.289,1.745,0.081,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.4,0.25,3,-0.28753809578530015,1.2188,24.438,-15.311,1.723,0.08492,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.4,0.25,3,-0.29451191567817114,1.2227,23.963,-15.311,1.728,0.08394,0.871196,False,False,False,econ_strong_stat_weak
0.55,2.5,1.5,0.25,0.25,3,-0.29597746670172925,1.211,24.178,-15.289,1.712,0.08693,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.25,0.25,3,-0.31155760612607797,1.1968,23.804,-15.311,1.692,0.09068,0.871196,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.25,0.25,3,-0.3271254845418553,1.1909,23.117,-15.289,1.683,0.09228,0.871196,False,False,False,econ_strong_stat_weak
0.55,2.5,1.5,0.4,0.3,3,-0.33953503173416705,1.1706,25.02,-17.823,1.655,0.09794,0.871196,False,False,False,econ_strong_stat_weak
0.55,2.5,1.5,0.4,0.35,3,-0.3403771955782478,1.1705,25.336,-18.367,1.655,0.09797,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.25,0.25,3,-0.340467491854552,1.1788,22.801,-15.311,1.666,0.09563,0.871196,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.4,0.3,3,-0.34089174280332685,1.1768,24.383,-17.28,1.664,0.09619,0.871196,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.4,0.35,3,-0.34477691740935934,1.1749,24.57,-17.783,1.661,0.09673,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.4,0.35,3,-0.3525269583653239,1.1592,25.056,-18.442,1.639,0.10125,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.4,0.3,3,-0.3535918933239709,1.1579,24.658,-17.856,1.637,0.10164,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.4,0.3,3,-0.35417247789436196,1.1646,24.05,-17.307,1.646,0.09967,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.4,0.35,3,-0.355446468151403,1.1649,24.334,-17.853,1.647,0.09958,0.871196,False,False,False,econ_strong_stat_weak
